Date,Time,Home Team,Result,Away Team
8/22/24,6:10 PM,Al-Taawoun,1:0,Al-Fayha
,8:00 PM,Al-Wehda,3:3,Al-Riyadh
,,Al-Nassr,1:1,Al-Raed
8/23/24,6:10 PM,Damac FC,0:1,Al-Khaleej
,8:00 PM,Al-Ahli,2:0,Al-Orobah
,,Al-Qadsiah,3:0,Al-Fateh
8/24/24,6:10 PM,Al-Kholood,0:1,Al-Ittihad
,8:00 PM,Al-Okhdood,0:3,Al-Hilal
,,Al-Shabab,0:1,Al-Ettifaq
8/27/24,5:45 PM,(17.)  Al-Fateh,1:0,Al-Ahli  (3.)
,8:00 PM,(11.)  Al-Raed,0:1,Al-Qadsiah  (2.)
,,(12.)  Al-Fayha,1:4,Al-Nassr  (10.)
8/28/24,5:45 PM,(4.)  Al-Ettifaq,1:0,Al-Okhdood  (18.)
,8:00 PM,(1.)  Al-Hilal,3:2,Damac FC  (15.)
,,(9.)  Al-Wehda,2:1,Al-Orobah  (16.)
8/29/24,5:55 PM,(8.)  Al-Riyadh,3:1,Al-Kholood   (13.)
,8:00 PM,(6.)  Al-Khaleej,0:1,Al-Shabab  (14.)
,,(5.)  Al-Ittihad,2:1,Al-Taawoun  (7.)
9/13/24,5:45 PM,(9.)  Al-Taawoun,2:0,Al-Khaleej  (10.)
,5:50 PM,(14.)  Damac FC,3:1,Al-Okhdood  (18.)
,8:00 PM,(5.)  Al-Nassr,1:1,Al-Ahli  (8.)
9/14/24,5:20 PM,(12.)  Al-Fateh,1:2,Al-Ettifaq  (4.)
,5:45 PM,(17.)  Al-Fayha,0:5,Al-Raed  (13.)
,8:00 PM,(6.)  Al-Riyadh,0:3,Al-Hilal  (1.)
9/15/24,5:20 PM,(2.)  Al-Qadsiah,0:1,Al-Shabab  (11.)
,5:50 PM,(15.)  Al-Kholood,3:3,Al-Orobah  (16.)
,8:00 PM,(3.)  Al-Ittihad,7:1,Al-Wehda  (7.)
9/19/24,5:40 PM,(17.)  Al-Okhdood,0:0,Al-Qadsiah  (4.)
,6:00 PM,(16.)  Al-Orobah,1:0,Al-Fateh  (14.)
,8:00 PM,(11.)  Al-Wehda,0:1,Al-Kholood   (15.)
9/20/24,5:15 PM,(13.)  Al-Khaleej,0:0,Al-Fayha  (18.)
,5:50 PM,(9.)  Al-Ahli,4:2,Damac FC  (12.)
,8:00 PM,(3.)  Al-Ettifaq,0:3,Al-Nassr  (7.)
9/21/24,5:30 PM,(6.)  Al-Shabab,1:0,Al-Taawoun  (5.)
,5:40 PM,(8.)  Al-Raed,1:2,Al-Riyadh  (10.)
,8:00 PM,(2.)  Al-Hilal,3:1,Al-Ittihad  (1.)
9/27/24,5:20 PM,(5.)  Al-Nassr,2:0,Al-Wehda  (14.)
,8:00 PM,(7.)  Al-Qadsiah,1:0,Al-Ahli  (6.)
,,(2.)  Al-Ittihad,4:1,Al-Khaleej  (13.)
9/28/24,5:10 PM,(16.)  Al-Fateh,2:4,Al-Okhdood  (17.)
,5:45 PM,(12.)  Al-Orobah,1:0,Damac FC  (15.)
,8:00 PM,(11.)  Al-Kholood,2:4,Al-Hilal  (1.)
9/29/24,5:30 PM,(18.)  Al-Fayha,2:0,Al-Riyadh  (8.)
,8:00 PM,(9.)  Al-Taawoun,1:1,Al-Ettifaq  (4.)
,,(3.)  Al-Shabab,2:1,Al-Raed  (10.)
10/3/24,5:00 PM,(6.)  Al-Ettifaq,0:1,Al-Raed  (11.)
,8:00 PM,(13.)  Al-Okhdood,1:2,Al-Ittihad  (2.)
,,(16.)  Al-Wehda,2:2,Al-Fayha  (15.)
10/4/24,5:00 PM,(14.)  Al-Khaleej,1:0,Al-Kholood   (12.)
,5:15 PM,(10.)  Al-Riyadh,2:1,Al-Qadsiah  (5.)
,8:00 PM,(17.)  Damac FC,1:0,Al-Shabab  (3.)
10/5/24,5:15 PM,(4.)  Al-Nassr,3:0,Al-Orobah  (9.)
,5:25 PM,(8.)  Al-Taawoun,2:0,Al-Fateh  (18.)
,8:00 PM,(7.)  Al-Ahli,1:2,Al-Hilal  (1.)
10/18/24,4:45 PM,(12.)  Al-Khaleej,0:3,Al-Ahli  (10.)
,5:00 PM,(1.)  Al-Hilal,3:0,Al-Fayha  (14.)
,8:00 PM,(4.)  Al-Shabab,1:2,Al-Nassr  (3.)
10/19/24,5:05 PM,(9.)  Al-Raed,2:2,Al-Wehda  (15.)
,5:20 PM,(13.)  Damac FC,2:2,Al-Taawoun  (5.)
,8:00 PM,(2.)  Al-Ittihad,3:1,Al-Qadsiah  (6.)
10/20/24,4:45 PM,(18.)  Al-Fateh,1:1,Al-Kholood   (16.)
,5:20 PM,(17.)  Al-Okhdood,0:1,Al-Riyadh  (7.)
,8:00 PM,(8.)  Al-Ettifaq,2:3,Al-Orobah  (11.)
10/24/24,5:15 PM,(10.)  Al-Orobah,0:3,Al-Shabab  (5.)
,8:00 PM,(4.)  Al-Riyadh,0:1,Al-Ittihad  (2.)
,,(14.)  Al-Wehda,1:3,Al-Khaleej  (13.)
10/25/24,4:40 PM,(8.)  Al-Qadsiah,2:1,Damac FC  (12.)
,5:05 PM,(15.)  Al-Kholood,3:3,Al-Nassr  (3.)
,8:00 PM,(7.)  Al-Ahli,1:1,Al-Okhdood  (17.)
10/26/24,5:00 PM,(16.)  Al-Fayha,1:1,Al-Ettifaq  (9.)
,5:05 PM,(11.)  Al-Raed,2:1,Al-Fateh  (18.)
,8:00 PM,(1.)  Al-Hilal,2:0,Al-Taawoun  (6.)
10/31/24,3:50 PM,(4.)  Al-Shabab,3:1,Al-Wehda  (15.)
,4:10 PM,(17.)  Al-Okhdood,4:0,Al-Orobah  (12.)
,7:00 PM,(2.)  Al-Ittihad,1:0,Al-Ahli  (8.)
11/1/24,3:35 PM,(11.)  Al-Khaleej,4:0,Al-Raed  (7.)
,4:15 PM,(13.)  Damac FC,2:2,Al-Riyadh  (6.)
,7:00 PM,(3.)  Al-Nassr,1:1,Al-Hilal  (1.)
11/2/24,3:35 PM,(18.)  Al-Fateh,1:1,Al-Fayha  (16.)
,3:55 PM,(9.)  Al-Taawoun,1:1,Al-Kholood   (14.)
,7:00 PM,(10.)  Al-Ettifaq,0:2,Al-Qadsiah  (5.)
11/7/24,3:30 PM,(5.)  Al-Qadsiah,2:0,Al-Fayha  (16.)
,4:00 PM,(15.)  Al-Kholood,0:2,Al-Shabab  (4.)
,6:00 PM,(12.)  Al-Orobah,0:2,Al-Ittihad  (2.)
11/8/24,3:45 PM,(1.)  Al-Hilal,3:1,Al-Ettifaq  (11.)
,4:20 PM,(9.)  Al-Ahli,2:0,Al-Raed  (10.)
,6:00 PM,(6.)  Al-Riyadh,0:1,Al-Nassr  (3.)
11/9/24,3:30 PM,(18.)  Al-Fateh,1:2,Al-Khaleej  (7.)
,4:15 PM,(17.)  Al-Wehda,2:3,Damac FC  (14.)
,6:00 PM,(8.)  Al-Taawoun,1:0,Al-Okhdood  (13.)
11/22/24,3:50 PM,(16.)  Al-Fayha,0:1,Al-Ahli  (8.)
,4:05 PM,(14.)  Al-Okhdood,1:1,Al-Shabab  (4.)
,6:00 PM,(3.)  Al-Nassr,1:2,Al-Qadsiah  (5.)
11/23/24,2:20 PM,(11.)  Al-Raed,3:1,Al-Orobah  (13.)
,4:15 PM,(17.)  Al-Wehda,1:0,Al-Taawoun  (7.)
,6:00 PM,(6.)  Al-Khaleej,3:2,Al-Hilal  (1.)
11/24/24,2:40 PM,(10.)  Damac FC,2:1,Al-Kholood   (15.)
,3:40 PM,(9.)  Al-Riyadh,0:0,Al-Ettifaq  (12.)
,6:00 PM,(2.)  Al-Ittihad,2:0,Al-Fateh  (18.)
11/28/24,3:45 PM,(17.)  Al-Fayha,0:1,Al-Orobah  (13.)
,4:05 PM,(14.)  Al-Okhdood,1:2,Al-Kholood   (16.)
,6:00 PM,(18.)  Al-Fateh,1:2,Al-Riyadh  (9.)
11/29/24,3:25 PM,(5.)  Al-Qadsiah,1:0,Al-Khaleej  (6.)
,3:40 PM,(3.)  Al-Nassr,2:0,Damac FC  (11.)
,6:00 PM,(7.)  Al-Ahli,1:0,Al-Wehda  (15.)
11/30/24,2:20 PM,(10.)  Al-Raed,0:1,Al-Taawoun  (8.)
,3:25 PM,(12.)  Al-Ettifaq,0:4,Al-Ittihad  (1.)
,6:00 PM,(4.)  Al-Shabab,1:2,Al-Hilal  (2.)
12/5/24,4:10 PM,(11.)  Damac FC,2:2,Al-Fayha  (17.)
,4:15 PM,(16.)  Al-Wehda,2:3,Al-Okhdood  (15.)
,6:00 PM,(5.)  Al-Shabab,2:2,Al-Fateh  (18.)
12/6/24,3:50 PM,(14.)  Al-Kholood,0:3,Al-Qadsiah  (4.)
,3:55 PM,(12.)  Al-Orobah,0:1,Al-Riyadh  (9.)
,6:00 PM,(1.)  Al-Ittihad,2:1,Al-Nassr  (3.)
12/7/24,1:55 PM,(7.)  Al-Khaleej,1:2,Al-Ettifaq  (13.)
,6:00 PM,(8.)  Al-Taawoun,2:4,Al-Ahli  (6.)
,,(2.)  Al-Hilal,3:2,Al-Raed  (10.)
1/9/25,3:45 PM,(18.)  Al-Fateh,1:2,Al-Wehda  (16.)
,4:00 PM,(7.)  Al-Riyadh,2:2,Al-Khaleej  (8.)
,6:00 PM,(4.)  Al-Nassr,3:1,Al-Okhdood  (14.)
1/10/25,3:40 PM,(11.)  Al-Ettifaq,2:3,Al-Kholood   (15.)
,4:05 PM,(12.)  Al-Raed,0:2,Damac FC  (10.)
,6:00 PM,(5.)  Al-Ahli,3:2,Al-Shabab  (6.)
1/11/25,2:45 PM,(13.)  Al-Orobah,0:5,Al-Hilal  (2.)
,3:40 PM,(3.)  Al-Qadsiah,0:3,Al-Taawoun  (9.)
,6:00 PM,(17.)  Al-Fayha,1:1,Al-Ittihad  (1.)
1/15/25,4:05 PM,(6.)  Al-Shabab,2:1,Al-Riyadh  (7.)
,4:30 PM,(10.)  Damac FC,0:3,Al-Ettifaq  (11.)
,6:00 PM,(13.)  Al-Kholood,1:0,Al-Ahli  (5.)
1/16/25,12:00 AM,(1.)  Al-Hilal,9:0,Al-Fateh  (18.)
,2:55 PM,(15.)  Al-Okhdood,1:2,Al-Fayha  (17.)
,6:00 PM,(2.)  Al-Ittihad,4:1,Al-Raed  (12.)
1/17/25,2:15 PM,(9.)  Al-Khaleej,3:0,Al-Orobah  (14.)
,4:40 PM,(16.)  Al-Wehda,0:3,Al-Qadsiah  (4.)
,6:00 PM,(8.)  Al-Taawoun,1:1,Al-Nassr  (3.)
1/20/25,4:10 PM,(16.)  Al-Fayha,1:0,Al-Kholood   (12.)
,4:15 PM,(13.)  Al-Raed,0:2,Al-Okhdood  (15.)
,6:00 PM,(11.)  Al-Ettifaq,1:2,Al-Ahli  (5.)
1/21/25,3:50 PM,(7.)  Al-Khaleej,1:3,Al-Nassr  (4.)
,4:10 PM,(9.)  Al-Riyadh,1:0,Al-Taawoun  (8.)
,6:00 PM,(1.)  Al-Hilal,4:1,Al-Wehda  (17.)
1/22/25,3:00 PM,(14.)  Al-Orobah,0:2,Al-Qadsiah  (3.)
,3:55 PM,(18.)  Al-Fateh,2:1,Damac FC  (10.)
,6:00 PM,(2.)  Al-Ittihad,2:1,Al-Shabab  (6.)
1/25/25,2:50 PM,(12.)  Al-Kholood,2:1,Al-Raed  (15.)
,6:00 PM,(17.)  Al-Wehda,2:2,Al-Ettifaq  (11.)
1/26/25,4:20 PM,(9.)  Al-Taawoun,0:0,Al-Orobah  (16.)
,4:30 PM,(13.)  Al-Okhdood,1:2,Al-Khaleej  (8.)
,4:45 PM,(5.)  Al-Ahli,5:0,Al-Riyadh  (7.)
,6:00 PM,(4.)  Al-Nassr,3:1,Al-Fateh  (18.)
1/27/25,3:05 PM,(10.)  Damac FC,2:1,Al-Ittihad  (2.)
,4:10 PM,(6.)  Al-Shabab,2:1,Al-Fayha  (14.)
,6:00 PM,(3.)  Al-Qadsiah,2:1,Al-Hilal  (1.)
1/30/25,3:00 PM,(16.)  Al-Orobah,0:2,Al-Ahli  (5.)
,4:15 PM,(8.)  Al-Riyadh,1:0,Al-Wehda  (17.)
,6:00 PM,(15.)  Al-Raed,1:2,Al-Nassr  (4.)
1/31/25,2:45 PM,(14.)  Al-Fayha,0:0,Al-Taawoun  (9.)
,4:15 PM,(1.)  Al-Hilal,4:0,Al-Okhdood  (13.)
,6:00 PM,(12.)  Al-Ettifaq,3:1,Al-Shabab  (6.)
2/1/25,2:25 PM,(7.)  Al-Khaleej,1:1,Damac FC  (10.)
,4:00 PM,(18.)  Al-Fateh,1:1,Al-Qadsiah  (3.)
,6:00 PM,(2.)  Al-Ittihad,4:3,Al-Kholood   (11.)
2/6/25,4:05 PM,(4.)  Al-Qadsiah,2:0,Al-Raed  (15.)
,4:20 PM,(6.)  Al-Shabab,5:1,Al-Khaleej  (8.)
,6:00 PM,(9.)  Al-Taawoun,1:2,Al-Ittihad  (2.)
2/7/25,2:05 PM,(16.)  Al-Orobah,4:2,Al-Wehda  (17.)
,4:20 PM,(3.)  Al-Nassr,3:0,Al-Fayha  (13.)
,6:00 PM,(5.)  Al-Ahli,2:0,Al-Fateh  (18.)
2/8/25,2:55 PM,(12.)  Al-Kholood,3:2,Al-Riyadh  (7.)
,4:40 PM,(14.)  Al-Okhdood,0:2,Al-Ettifaq  (11.)
,6:00 PM,(10.)  Damac FC,2:2,Al-Hilal  (1.)
2/13/25,3:10 PM,(15.)  Al-Okhdood,0:0,Damac FC  (11.)
,4:25 PM,(6.)  Al-Shabab,2:3,Al-Qadsiah  (4.)
,6:30 PM,(5.)  Al-Ahli,2:3,Al-Nassr  (3.)
2/14/25,3:10 PM,(13.)  Al-Orobah,2:0,Al-Kholood   (12.)
,4:05 PM,(9.)  Al-Ettifaq,1:2,Al-Fateh  (18.)
,6:00 PM,(2.)  Al-Hilal,1:1,Al-Riyadh  (7.)
2/15/25,2:35 PM,(8.)  Al-Khaleej,0:1,Al-Taawoun  (10.)
,4:30 PM,(16.)  Al-Raed,0:2,Al-Fayha  (14.)
,6:30 PM,(17.)  Al-Wehda,1:4,Al-Ittihad  (1.)
2/20/25,4:15 PM,(18.)  Al-Fateh,1:0,Al-Orobah  (13.)
,4:30 PM,(14.)  Al-Fayha,0:0,Al-Khaleej  (9.)
,6:00 PM,(7.)  Al-Riyadh,1:3,Al-Raed  (16.)
2/21/25,3:20 PM,(11.)  Damac FC,0:2,Al-Ahli  (5.)
,4:10 PM,(4.)  Al-Qadsiah,2:0,Al-Okhdood  (15.)
,6:00 PM,(3.)  Al-Nassr,2:3,Al-Ettifaq  (10.)
2/22/25,2:00 PM,(12.)  Al-Kholood,1:0,Al-Wehda  (17.)
,3:05 PM,(8.)  Al-Taawoun,2:2,Al-Shabab  (6.)
,7:15 PM,(1.)  Al-Ittihad,4:1,Al-Hilal  (2.)
2/24/25,3:15 PM,(16.)  Al-Okhdood,1:3,Al-Fateh  (17.)
,4:50 PM,(12.)  Damac FC,1:2,Al-Orobah  (14.)
2/25/25,3:10 PM,(15.)  Al-Raed,1:2,Al-Shabab  (6.)
,4:30 PM,(2.)  Al-Hilal,5:1,Al-Kholood   (11.)
,5:00 PM,(18.)  Al-Wehda,0:2,Al-Nassr  (4.)
,6:30 PM,(5.)  Al-Ahli,4:1,Al-Qadsiah  (3.)
2/26/25,4:15 PM,(9.)  Al-Ettifaq,1:0,Al-Taawoun  (8.)
,4:30 PM,(7.)  Al-Riyadh,0:0,Al-Fayha  (13.)
,6:00 PM,(10.)  Al-Khaleej,1:1,Al-Ittihad  (1.)
2/28/25,8:00 PM,(13.)  Al-Orobah,2:1,Al-Nassr  (3.)
,,(2.)  Al-Hilal,2:3,Al-Ahli  (5.)
,,(6.)  Al-Shabab,2:0,Damac FC  (12.)
3/1/25,8:00 PM,(14.)  Al-Fayha,0:0,Al-Wehda  (18.)
,,(11.)  Al-Kholood,2:1,Al-Khaleej  (9.)
,,(15.)  Al-Fateh,1:2,Al-Taawoun  (10.)
3/2/25,8:00 PM,(16.)  Al-Raed,1:1,Al-Ettifaq  (7.)
,,(1.)  Al-Ittihad,1:1,Al-Okhdood  (17.)
,,(4.)  Al-Qadsiah,1:0,Al-Riyadh  (8.)
3/6/25,8:00 PM,(3.)  Al-Qadsiah,1:1,Al-Ittihad  (1.)
,,(11.)  Al-Kholood,2:1,Al-Fateh  (15.)
,9:00 PM,(18.)  Al-Wehda,3:1,Al-Raed  (16.)
3/7/25,8:00 PM,(5.)  Al-Ahli,2:2,Al-Khaleej  (10.)
,,(14.)  Al-Fayha,0:2,Al-Hilal  (2.)
,,(4.)  Al-Nassr,2:2,Al-Shabab  (6.)
3/8/25,8:00 PM,(9.)  Al-Riyadh,1:0,Al-Okhdood  (17.)
,,(12.)  Al-Orobah,1:2,Al-Ettifaq  (7.)
,,(8.)  Al-Taawoun,3:0,Damac FC  (13.)
3/13/25,8:00 PM,(1.)  Al-Ittihad,2:1,Al-Riyadh  (9.)
,,(6.)  Al-Shabab,6:0,Al-Orobah  (12.)
,,(15.)  Al-Fateh,3:1,Al-Raed  (16.)
3/14/25,8:00 PM,(11.)  Al-Khaleej,0:2,Al-Wehda  (18.)
,,(13.)  Damac FC,1:0,Al-Qadsiah  (3.)
,,(4.)  Al-Nassr,3:1,Al-Kholood   (10.)
3/15/25,8:00 PM,(7.)  Al-Ettifaq,0:2,Al-Fayha  (14.)
,,(8.)  Al-Taawoun,0:2,Al-Hilal  (2.)
,,(17.)  Al-Okhdood,2:1,Al-Ahli  (5.)
4/4/25,4:30 PM,(10.)  Al-Kholood,-:-,Al-Taawoun  (8.)
,6:15 PM,(13.)  Al-Orobah,-:-,Al-Okhdood  (16.)
,8:00 PM,(2.)  Al-Hilal,-:-,Al-Nassr  (3.)
4/5/25,4:05 PM,(4.)  Al-Qadsiah,-:-,Al-Ettifaq  (7.)
,4:15 PM,(9.)  Al-Riyadh,-:-,Damac FC  (12.)
,8:00 PM,(5.)  Al-Ahli,-:-,Al-Ittihad  (1.)
4/6/25,4:25 PM,(14.)  Al-Fayha,-:-,Al-Fateh  (15.)
,6:00 PM,(18.)  Al-Raed,-:-,Al-Khaleej  (11.)
,8:00 PM,(17.)  Al-Wehda,-:-,Al-Shabab  (6.)
4/10/25,12:00 AM,Damac FC,-:-,Al-Wehda
,,Al-Ettifaq,-:-,Al-Hilal
,,Al-Shabab,-:-,Al-Kholood
,,Al-Khaleej,-:-,Al-Fateh
,,Al-Raed,-:-,Al-Ahli
,,Al-Fayha,-:-,Al-Qadsiah
,,Al-Ittihad,-:-,Al-Orobah
,,Al-Okhdood,-:-,Al-Taawoun
,,Al-Nassr,-:-,Al-Riyadh
4/17/25,12:00 AM,Al-Ettifaq,-:-,Al-Riyadh
,,Al-Kholood,-:-,Damac FC
,,Al-Hilal,-:-,Al-Khaleej
,,Al-Orobah,-:-,Al-Raed
,,Al-Qadsiah,-:-,Al-Nassr
,,Al-Fateh,-:-,Al-Ittihad
,,Al-Ahli,-:-,Al-Fayha
,,Al-Taawoun,-:-,Al-Wehda
,,Al-Shabab,-:-,Al-Okhdood
4/22/25,12:00 AM,Al-Hilal,-:-,Al-Shabab
,,Damac FC,-:-,Al-Nassr
,,Al-Wehda,-:-,Al-Ahli
,,Al-Riyadh,-:-,Al-Fateh
,,Al-Ittihad,-:-,Al-Ettifaq
,,Al-Taawoun,-:-,Al-Raed
,,Al-Khaleej,-:-,Al-Qadsiah
,,Al-Orobah,-:-,Al-Fayha
,,Al-Kholood,-:-,Al-Okhdood
5/1/25,12:00 AM,Al-Okhdood,-:-,Al-Wehda
,,Al-Ahli,-:-,Al-Taawoun
,,Al-Qadsiah,-:-,Al-Kholood
,,Al-Riyadh,-:-,Al-Orobah
,,Al-Raed,-:-,Al-Hilal
,,Al-Fateh,-:-,Al-Shabab
,,Al-Nassr,-:-,Al-Ittihad
,,Al-Fayha,-:-,Damac FC
,,Al-Ettifaq,-:-,Al-Khaleej
5/8/25,12:00 AM,Al-Khaleej,-:-,Al-Riyadh
,,Al-Kholood,-:-,Al-Ettifaq
,,Damac FC,-:-,Al-Raed
,,Al-Wehda,-:-,Al-Fateh
,,Al-Shabab,-:-,Al-Ahli
,,Al-Taawoun,-:-,Al-Qadsiah
,,Al-Hilal,-:-,Al-Orobah
,,Al-Okhdood,-:-,Al-Nassr
,,Al-Ittihad,-:-,Al-Fayha
5/14/25,12:00 AM,Al-Fayha,-:-,Al-Okhdood
,,Al-Nassr,-:-,Al-Taawoun
,,Al-Raed,-:-,Al-Ittihad
,,Al-Orobah,-:-,Al-Khaleej
,,Al-Fateh,-:-,Al-Hilal
,,Al-Ahli,-:-,Al-Kholood
,,Al-Ettifaq,-:-,Damac FC
,,Al-Riyadh,-:-,Al-Shabab
,,Al-Qadsiah,-:-,Al-Wehda
5/20/25,12:00 AM,Damac FC,-:-,Al-Fateh
,,Al-Ahli,-:-,Al-Ettifaq
,,Al-Nassr,-:-,Al-Khaleej
,,Al-Taawoun,-:-,Al-Riyadh
,,Al-Shabab,-:-,Al-Ittihad
,,Al-Okhdood,-:-,Al-Raed
,,Al-Wehda,-:-,Al-Hilal
,,Al-Kholood,-:-,Al-Fayha
,,Al-Qadsiah,-:-,Al-Orobah
5/26/25,12:00 AM,Al-Khaleej,-:-,Al-Okhdood
,,Al-Fateh,-:-,Al-Nassr
,,Al-Ittihad,-:-,Damac FC
,,Al-Raed,-:-,Al-Kholood
,,Al-Orobah,-:-,Al-Taawoun
,,Al-Fayha,-:-,Al-Shabab
,,Al-Hilal,-:-,Al-Qadsiah
,,Al-Riyadh,-:-,Al-Ahli
,,Al-Ettifaq,-:-,Al-Wehda
